Feature,Importance
year,0.3981937064234418
odometer,0.14576344186511134
cylinders_hash_25,0.10907426101919816
fuel_hash_28,0.04798083727232268
drive_hash_10,0.04321466990557074
cylinders_hash_11,0.04125723875534067
standard_model_hash_17,0.00783735017495386
transmission_hash_24,0.006603039040435821
manufacturer_hash_17,0.00643953000763649
drive_hash_30,0.006272206949262662
manufacturer_hash_9,0.006191030257123511
manufacturer_hash_13,0.005769079537134891
condition_hash_1,0.005353892311489767
type_hash_13,0.005214421856373835
